date;signal;ticker;num;price
2014.02.20;BUY;AAPL;137;75.88
2016.02.11;SELL;AAPL;114;93.7
2015.05.18;BUY;AAPL;84;130.19
2016.06.13;BUY;AAPL;109;97.34
2015.04.20;BUY;AAPL;84;127.6
2013.08.06;BUY;AAPL;153;66.46
2015.07.17;BUY;AAPL;83;129.62
2015.01.13;SELL;AAPL;97;110.22
2013.10.22;BUY;AAPL;140;74.27
2016.07.25;BUY;AAPL;109;97.34
2014.03.21;SELL;AAPL;137;76.12
2016.05.20;BUY;AAPL;111;95.22
2015.09.11;BUY;AAPL;96;114.21
2015.04.30;BUY;AAPL;87;125.15
2016.12.15;BUY;AAPL;95;115.82
2013.05.28;BUY;AAPL;160;63.06
2013.04.12;BUY;AAPL;166;61.4
2014.08.22;BUY;AAPL;107;101.32
2014.04.22;BUY;AAPL;141;75.96
2014.11.17;BUY;AAPL;96;113.99
2015.05.07;SELL;AAPL;86;125.26
2014.10.30;SELL;AAPL;102;106.98
2013.11.29;BUY;AAPL;132;79.44
2015.08.13;SELL;AAPL;95;115.15
2015.03.25;SELL;AAPL;87;123.38
2016.09.13;BUY;AAPL;101;107.95
2013.04.16;BUY;AAPL;166;60.89
2016.03.14;BUY;AAPL;105;102.52
2016.03.23;BUY;AAPL;102;106.13
2014.10.13;BUY;AAPL;110;99.81
2015.05.22;BUY;AAPL;82;132.54
2015.01.02;BUY;AAPL;98;109.33
2016.04.14;BUY;AAPL;97;112.1
2014.06.03;SELL;AAPL;117;91.08
2015.07.31;SELL;AAPL;89;121.3
2015.06.19;BUY;AAPL;85;126.6
2015.05.19;BUY;AAPL;84;130.07
2014.08.05;BUY;AAPL;113;95.12
2016.06.03;BUY;AAPL;108;97.92
2014.06.11;SELL;AAPL;113;93.86
2014.05.19;SELL;AAPL;123;86.37
2014.12.05;BUY;AAPL;95;115.0
2013.05.16;BUY;AAPL;162;62.08
2014.08.01;BUY;AAPL;112;96.13
2015.08.19;BUY;AAPL;95;115.01
2016.12.06;SELL;AAPL;100;109.95
2014.10.17;BUY;AAPL;112;97.67
2013.03.15;BUY;AAPL;158;63.38
2016.09.08;BUY;AAPL;101;105.52
2014.04.09;SELL;AAPL;140;75.76
2016.12.16;BUY;AAPL;95;115.97
2016.10.21;BUY;AAPL;95;116.6
2016.04.07;BUY;AAPL;100;108.54
2014.05.12;BUY;AAPL;126;84.69
2014.11.20;SELL;AAPL;94;116.31
2014.09.15;BUY;AAPL;108;101.63
2016.01.29;SELL;AAPL;109;97.34
2016.10.17;BUY;AAPL;94;117.55
2015.05.14;BUY;AAPL;84;128.95
2014.06.10;BUY;AAPL;113;94.25
2015.02.13;SELL;AAPL;85;127.08
2015.10.21;BUY;AAPL;99;113.76
